[config]
auction_max 	=  	 4

[items]
28179	100	7200	虎头虎脑兑换券
28286	100	7200	名器帖·紫金兵翼
28287	200	7200	名器帖·玄光飞魅
28288	300	7200	名器帖·海刃冰皇
28289	500	7200	名器帖·九冥朔影
28290	1000	7200	名器帖·金雾枭将
28434	100	7200	纯白染色卡
28435	100	7200	纯黑染色卡
28436	100	7200	石榴红染色卡
28437	100	7200	藕荷染色卡
28438	100	7200	浅海沙染色卡
28535	1000	7200	真刀剑精通之券
28536	1000	7200	狂刀剑精通之券
28537	1000	7200	真长兵精通之券
28538	1000	7200	狂长兵精通之券
28539	1000	7200	真斧锤精通武侠之券
28540	1000	7200	狂斧锤精通武侠之券
28541	1000	7200	真拳术精通之券
28542	1000	7200	狂拳术精通之券
28543	1000	7200	真火精通之券
28544	1000	7200	狂火精通之券
28545	1000	7200	真水精通法师之券
28546	1000	7200	狂水精通法师之券
28547	1000	7200	真土精通法师之券
28548	1000	7200	狂土精通法师之券
28549	1000	7200	真金精通之券
28550	1000	7200	狂金精通之券
28551	1000	7200	真弓弩精通之券
28552	1000	7200	狂弓弩精通之券
28554	1000	7200	真斧锤精通妖兽之券
28555	1000	7200	狂斧锤精通妖兽之券
28556	1000	7200	真木精通之券
28557	1000	7200	狂木精通之券
28558	1000	7200	真肉搏精通之券
28559	1000	7200	狂肉搏精通之券
28560	1000	7200	真匕首精通之券
28561	1000	7200	狂匕首精通之券
28562	1000	7200	真水精通巫师之券
28563	1000	7200	狂水精通巫师之券
28564	1000	7200	真土精通巫师之券
28565	1000	7200	狂土精通巫师之券
28566	1000	7200	金毛狮王兑换券
28567	1000	7200	九尾狐兑换券
28568	1000	7200	霸道熊猫兑换券
28569	1000	7200	云海金鱼兑换券
28570	1000	7200	巨钳龙虾兑换券
28571	1000	7200	猛犸巨象兑换券
28572	1000	7200	斑斓猛虎兑换券
28573	1000	7200	爱之永恒男礼盒
28574	1000	7200	爱之永恒女礼盒
30375	10000	7200	闪亮蓝宝石装兑换券
30550   1000	7200	名器帖·紫霞银夜
30551   1000	7200	寒翎鸟兑换券
